Years,Casting ID,CID,Low Power,High Power,Main Caps,Comments,Unnamed: 7
2020-2025,682B20C75BBD,Rear Underbody,RWD (Single Motor),AWD (Dual Motor),Aluminum,Model Y rear megacasting (Texas/Berlin),
2021-2025,F22E921B5BE6,Front Underbody,RWD (Single Motor),AWD (Dual Motor),Aluminum,Front megacasting for structural battery pack,
2022-2025,E801B4A2B27F,Side Structure,RWD (Base),AWD (Long Range),Aluminum Alloy,Side structural support pilot,
2023-2025,A4F41B6C11CB,Rear Underbody,RWD (Highland),AWD (Performance Highland),Aluminum,Highland single-piece rear casting,
2023-2025,8907CE10ACFC,Front Underbody,RWD (Highland),AWD (Performance Highland),Aluminum Alloy,Highland front megacasting,
2023-2025,BE39732A229B,Exo-frame Support,Dual Motor,Tri-Motor (Beast),Stainless/Aluminum,Cybertruck exoskeleton structure,
2024-2025,C43006F5D8F4,Front Subframe,Dual Motor,Tri-Motor,High-Strength Aluminum,Cybertruck front subframe casting,
2024-2025,62C868F04152,Rear Subframe,Dual Motor,Tri-Motor,Aluminum,Cybertruck rear subframe casting,
2021-2025,C679E0FD1F11,Front Structure,Dual Motor (LR),Tri-Motor (Plaid),Aluminum,Model S Plaid structural casting,
2021-2025,2CB4E9C8FE59,Rear Structure,Dual Motor (LR),Tri-Motor (Plaid),Aluminum,Model X Plaid rear casting,
2022-2025,3003FCDE0F3F,Main Frame Section,Standard Range,Long Range,Steel/Aluminum Hybrid,Tesla Semi frame casting,
2023-2025,15421657E9A2,Battery Housing,Standard Range,Long Range,Aluminum,Semi battery structural housing,
2024-2026,97361A0FE0F6,Central Unibody,Single Motor,Dual Motor,Gigacasting Aluminum,Next-gen platform unibody,
2024-2026,2F752C9AB229,Front Casting,Single Motor,Dual Motor,Aluminum,Robotaxi front megacasting,
2024-2026,1E59C4E72BAD,Rear Casting,Single Motor,Dual Motor,Aluminum,Robotaxi rear megacasting,
2020-2025,E29B93507320,Powerwall Enclosure,Standard Output,High Output,Cast Aluminum,Powerwall enclosure casting,
2021-2025,A0F5B6454342,Megapack Structure,Standard,High Capacity,Steel/Aluminum,Megapack frame casting,
2022-2024,18C20A03F767,Crash Structure Test,Low Load,High Load,Aluminum Alloy,Crash absorption casting,
2022-2025,867370BF3243,NVH Body Insert,Low NVH Support,High NVH Support,Aluminum/Foam Hybrid,Noise/vibration damping casting,
2023-2025,BBD87D639681,Experimental Unibody,Single Motor (Test),Dual Motor (Test),Gigacasting Alloy,Full-vehicle unibody casting experiment,
